City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Nouadhibou,MR,20.931,-17.0347,71.58,68,9,20.71,dust
106,Kirakira,SB,-10.4544,161.9205,79.56,83,99,2.08,overcast clouds
107,Ushuaia,AR,-54.8,-68.3,49.66,46,20,10.36,few clouds
108,Inirida,CO,3.8653,-67.9239,92.79,48,31,2.19,scattered clouds
109,Hithadhoo,MV,-0.6,73.0833,85.57,75,91,18.81,overcast clouds
110,Aitape,PG,-3.1374,142.3475,79.02,87,99,3.18,overcast clouds
111,Rio Tuba,PH,8.5061,117.4317,80.58,79,99,3.0,overcast clouds
112,Bundaberg,AU,-24.85,152.35,66.49,84,75,6.91,broken clouds
113,Hamilton,US,39.1834,-84.5333,70.5,50,0,12.66,clear sky
114,Dikson,RU,73.5069,80.5464,11.46,96,100,12.17,overcast clouds
115,Seoul,KR,37.5683,126.9778,51.24,71,0,3.44,clear sky
116,Natal,BR,-5.795,-35.2094,88.02,70,75,18.41,broken clouds
117,Hirara,JP,24.8,125.2833,69.62,77,100,22.77,overcast clouds
118,Russell,US,32.3502,-85.1999,82.9,71,20,3.44,few clouds
119,Lander,US,42.833,-108.7307,46.11,83,100,4.61,overcast clouds
120,Guerrero Negro,MX,27.9769,-114.0611,64.17,61,32,13.47,scattered clouds
121,Clyde River,CA,70.4692,-68.5914,8.83,85,20,3.44,few clouds
122,Asau,RO,46.4333,26.4,59.92,65,19,3.18,few clouds
123,Mar Del Plata,AR,-38.0023,-57.5575,53.62,65,100,3.44,overcast clouds
124,Saint-Francois,FR,46.4154,3.9054,67.44,40,0,5.75,clear sky
125,Potchefstroom,ZA,-26.7167,27.1,59.92,26,0,3.11,clear sky
126,Kuching,MY,1.55,110.3333,77.22,94,40,1.99,scattered clouds
127,Margate,GB,51.3813,1.3862,56.88,67,22,3.0,few clouds
128,San Jose De Guanipa,VE,8.8872,-64.1651,91.08,36,2,13.82,clear sky
129,Moree,AU,-29.4667,149.85,57.22,72,0,10.36,clear sky
130,Ribeira Grande,PT,38.5167,-28.7,66.6,72,75,10.36,broken clouds
131,East London,ZA,-33.0153,27.9116,67.14,88,0,9.22,clear sky
132,Port Lincoln,AU,-34.7333,135.8667,58.26,79,3,8.84,clear sky
133,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,74,0,11.5,clear sky
134,San Cristobal,VE,7.7669,-72.225,82.58,67,100,6.67,overcast clouds
135,Rio De Janeiro,BR,-22.9028,-43.2075,84.42,79,40,12.66,scattered clouds
136,Pindobacu,BR,-10.7417,-40.3608,88.92,36,70,8.75,broken clouds
137,Leiyang,CN,26.4024,112.8591,59.0,79,60,0.67,broken clouds
138,Tahoua,NE,14.8888,5.2692,109.38,7,0,9.22,clear sky
139,Rockland,US,41.1668,-74.0496,54.59,93,100,5.21,overcast clouds
140,Havelock,US,34.8791,-76.9013,82.98,74,75,10.36,broken clouds
141,Antofagasta,CL,-23.65,-70.4,63.68,68,5,7.49,clear sky
142,Kruisfontein,ZA,-34.0033,24.7314,69.89,66,93,5.59,overcast clouds
143,Kodiak,US,57.79,-152.4072,40.51,87,100,14.97,moderate rain
144,Lamu,KE,-2.2717,40.902,82.62,82,100,15.59,light rain
145,Kalabo,ZM,-14.97,22.6814,67.24,54,6,5.08,clear sky
146,Cabo San Lucas,MX,22.8909,-109.9124,83.61,55,78,1.99,broken clouds
147,Nikolskoye,RU,59.7035,30.7861,53.49,56,100,10.58,overcast clouds
148,Sioux Lookout,CA,50.1001,-91.917,37.47,81,75,13.8,broken clouds
149,Yerofey Pavlovich,RU,53.9667,121.9667,25.95,54,99,5.3,overcast clouds
150,Yerbogachen,RU,61.2767,108.0108,28.44,69,100,10.85,overcast clouds
151,Maputo,MZ,-25.9653,32.5892,73.08,75,20,7.0,few clouds
152,Waris Aliganj,IN,25.0167,85.6333,88.54,41,8,12.66,clear sky
153,Nogent-Le-Rotrou,FR,48.3333,1.0,60.66,70,100,11.05,overcast clouds
154,Sangar,RU,63.9242,127.4739,21.45,96,100,4.16,light snow
155,Beloha,MG,-25.1667,45.05,66.45,74,13,5.86,few clouds
156,Pleshanovo,RU,52.8333,53.4833,44.94,47,72,2.51,broken clouds
157,Quatre Cocos,MU,-20.2078,57.7625,77.11,84,15,10.58,few clouds
158,Narsaq,GL,60.9167,-46.05,38.01,91,100,2.48,overcast clouds
159,Saint John,CA,45.2727,-66.0677,54.63,58,20,8.05,few clouds
160,Zonguldak,TR,41.25,31.8333,49.66,85,92,2.06,overcast clouds
161,Nardaran,AZ,40.5561,50.0056,60.44,55,0,18.41,clear sky
162,Xam Nua,LA,20.4197,104.0439,57.02,89,64,2.42,broken clouds
163,Tukrah,LY,32.5341,20.5791,62.04,86,46,24.67,scattered clouds
164,Dukat,RU,62.55,155.55,15.67,99,96,3.31,overcast clouds
165,Geraldton,AU,-28.7667,114.6,57.61,88,0,6.91,clear sky
166,Linguere,SN,15.3953,-15.1193,109.62,22,0,2.3,clear sky
167,Longyearbyen,SJ,78.2186,15.6401,12.04,73,40,6.91,scattered clouds
168,San Quintin,MX,30.4833,-115.95,61.88,63,69,8.21,broken clouds
169,Tiksi,RU,71.6872,128.8694,0.16,99,36,5.5,scattered clouds
170,Mackenzie,CA,55.2999,-123.1698,41.22,93,100,4.61,mist
171,Matara,LK,5.9485,80.5353,80.06,88,88,9.33,overcast clouds
172,Hambantota,LK,6.1241,81.1185,82.18,80,95,15.9,overcast clouds
173,Sur,OM,22.5667,59.5289,91.08,30,0,8.32,clear sky
174,Vila Velha,BR,-20.3297,-40.2925,93.15,46,20,9.22,few clouds
175,Namatanai,PG,-3.6667,152.4333,79.65,82,99,2.46,overcast clouds
176,Mlimba,TZ,-8.8,35.8167,71.35,90,73,3.62,light rain
