City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
187,Paulo Ramos,BR,83.71,overcast clouds,-4.2167,-45.1833,Hotel milena
188,Vardo,NO,31.98,broken clouds,70.3705,31.1107,Vardø Hotel AS
189,Otane,NZ,50.14,scattered clouds,-39.8833,176.6333,Ludlow Farmstay
190,Mahon,ES,66.76,few clouds,39.8885,4.2658,ARTIEM Capri
191,Castro,BR,75.4,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
192,Ilulissat,GL,22.15,overcast clouds,69.2167,-51.1,Hotel Arctic
193,Tezu,IN,72.93,light rain,27.9167,96.1667,Circuit House
194,Russas,BR,89.65,broken clouds,-4.9403,-37.9758,Veredas do Vale Hotel
196,Chuy,UY,62.28,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
197,Lagoa,PT,61.97,clear sky,39.05,-27.9833,Casa Das Faias
198,Hualmay,PE,70.83,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
200,Hasaki,JP,50.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
201,Akureyri,IS,35.53,broken clouds,65.6835,-18.0878,Icelandair Hotel Akureyri
202,Gat,IL,75.4,overcast clouds,31.61,34.7642,OlusHome
204,Uyuni,BO,55.27,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
205,Sitka,US,44.6,overcast clouds,57.0531,-135.33,Westmark Sitka
206,Mayumba,GA,79.9,overcast clouds,-3.432,10.6554,LIKWALE LODGE
207,Khani,GE,44.17,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
208,Esperanza,DO,85.3,overcast clouds,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
209,Gorontalo,ID,75.97,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
210,Mingoyo,TZ,73.8,scattered clouds,-10.1,39.6333,CHIMBENDE LODGE
211,Livingston,GB,54.84,broken clouds,55.9029,-3.5226,Mercure Livingston Hotel
212,Troitskaya,RU,48.22,light rain,43.3056,44.9789,"Gostinitsa ""Sunzha"""
213,Copiapo,CL,56.89,scattered clouds,-27.3667,-70.3333,Antay Casino Hotel
214,Talcahuano,CL,56.88,clear sky,-36.7167,-73.1167,departamento comodo
215,Jalu,LY,71.67,clear sky,29.0331,21.5482,صاحبة الفخامة
216,Yellowknife,CA,39.72,few clouds,62.456,-114.3525,The Explorer Hotel
217,Nanakuli,US,76.95,overcast clouds,21.3906,-158.1547,Camp Pālehua
218,Easley,US,83.17,clear sky,34.8298,-82.6015,Quality Inn & Suites
219,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
220,Sumenep,ID,81.27,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
221,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Alize Plage
222,Kazerun,IR,72.66,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
223,Fairbanks,US,44.92,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
224,Tanete,ID,74.98,scattered clouds,-3.9443,119.7848,Wisma Tri Multi
225,Along,IN,67.1,overcast clouds,28.1667,94.7667,Hotel West
229,Katsuura,JP,54.25,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
230,Kavarna,BG,56.48,scattered clouds,43.4333,28.3333,Вила Алегра (Villa Allegra)
231,Touros,BR,83.16,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
232,Golpayegan,IR,58.64,few clouds,33.4537,50.2884,Golpayegan Tourist Hotel
233,Kurumkan,RU,42.55,broken clouds,54.3,110.3,Ilikchin
235,Kloulklubed,PW,83.14,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
236,Nueve De Julio,AR,59.16,overcast clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
237,Chengde,CN,50.4,broken clouds,40.9725,117.9361,Super 8 Hotel
238,Asosa,ET,70.18,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
239,Port Said,EG,69.78,clear sky,31.2565,32.2841,Aracan Hotel
241,Sisimiut,GL,28.62,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
242,Husavik,IS,36.72,broken clouds,66.0449,-17.3389,Bjarnabúð
243,Ust-Nera,RU,20.57,overcast clouds,64.5667,143.2,Hotel Ust-Nera
244,Plouzane,FR,55.72,few clouds,48.3833,-4.6167,Lymina
245,Megion,RU,35.62,scattered clouds,61.0296,76.1136,Komfort Hotel
246,Omboue,GA,79.39,overcast clouds,-1.5746,9.2618,Hotel Olako
247,San Patricio,US,85.87,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
249,Turmalina,BR,84.88,scattered clouds,-17.2856,-42.73,Hotel Cristal
252,Aquiraz,BR,86.09,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
253,Salalah,OM,83.62,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
255,Skibbereen,IE,58.1,overcast clouds,51.55,-9.2667,The West Cork Hotel
256,Itarema,BR,84.81,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
257,Wajima,JP,49.01,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
258,Setermoen,NO,34.43,snow,68.861,18.3486,Room4You
259,Nyagan,RU,31.28,light snow,62.1406,65.3936,Rainbow Hotel
260,Mandalgovi,MN,57.36,few clouds,45.7625,106.2708,В.Ганбат
262,Asfi,MA,64.67,clear sky,32.2994,-9.2372,Hôtel Abda
263,Kununurra,AU,69.78,clear sky,-15.7667,128.7333,Hotel Kununurra
264,Tomigusuku,JP,65.97,broken clouds,26.185,127.675,Hotel Gran View Okinawa
266,Sarankhola,BD,74.52,broken clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
267,Nome,US,26.11,scattered clouds,64.5011,-165.4064,Dredge 7 Inn
268,Kaitangata,NZ,48.81,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
269,Xihe,CN,61.29,broken clouds,31.6864,113.4659,Junyi Apartment Guest Room
270,Kavieng,PG,82.62,light rain,-2.5744,150.7967,Nusa Island Retreat
271,Lebu,CL,56.44,clear sky,-37.6167,-73.65,Hostal Las Lilas
274,Estelle,US,87.01,overcast clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
275,Richards Bay,ZA,65.46,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
276,Ballitoville,ZA,68.25,few clouds,-29.539,31.2144,Hampshire Hotel-Ballito
277,Crieff,GB,50.74,overcast clouds,56.3727,-3.8389,Crieff Hydro Hotel
278,Kahului,US,73.85,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
279,Tonantins,BR,79.7,light rain,-2.8731,-67.8022,Hotel Hortensias
280,Basoko,CD,77.56,overcast clouds,1.2391,23.616,Jackyna Hotel
281,Amurzet,RU,45.48,overcast clouds,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
282,Kwinana,AU,61.16,clear sky,-32.25,115.7667,Rockingham Apartments
283,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
284,Bam,IR,83.68,few clouds,29.106,58.357,Bam Tourist Hotel
285,Coihaique,CL,50.61,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
286,Navan,IE,57.83,overcast clouds,53.6528,-6.6814,Ardboyne Hotel
287,Komsomolskiy,UZ,81.32,broken clouds,40.4272,71.7189,Ikathouse
288,Moron,AR,60.94,broken clouds,-34.6534,-58.6198,Hotel Morón
290,Swan Hill,AU,54.77,clear sky,-35.3378,143.5544,Lazy River Motor Inn
291,Visby,SE,55.06,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
292,Tallahassee,US,87.85,scattered clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
293,Hovd,MN,60.35,overcast clouds,48.0056,91.6419,Hotel Khovd
294,Cividale Del Friuli,IT,70.18,overcast clouds,46.0931,13.4275,Roma
295,Portland,US,51.84,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
296,Rocha,UY,60.66,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
297,Broome,US,63.09,overcast clouds,42.2506,-75.833,Chenango Valley State Park
298,Klaksvik,FO,41.92,overcast clouds,62.2266,-6.589,Airbnb rooms
299,Requena,ES,57.87,broken clouds,39.4883,-1.1004,Hotel Avenida
